case_id	variant	scope	round_expectations	entries	rule_ids	engine_run
C001	both_charge	core	1	E01	R01,R12,R26	NOT_RUN
C002	zero_dd	core	1	E02	R02,R09	NOT_RUN
C003	equal_bi	core	1	E02	R06,R09	NOT_RUN
C004	weaker_still_kills	core	1	E02,E04,E12	R04,R06	NOT_RUN
C005	def_vs_Bi	core	1	E02,E03	R08,R20	NOT_RUN
C006	def_vs_BigBi	core	1	E03,E06	R16,R20,R24	NOT_RUN
C007	def_vs_Pragon	core	1	E03,E12	R04,R08,R20	NOT_RUN
C008	ThreeDef	core	1	E05,E11	R07,R08	NOT_RUN
C008	PragonDef	core	1	E11,E13	R07,R08	NOT_RUN
C008	VolvoDef	core	1	E11,E15	R07,R08	NOT_RUN
C008	NieXiangDef	core	1	E11,E22	R07,R08	NOT_RUN
C009	ThreeDef	core	1	E02,E05	R08	NOT_RUN
C009	PragonDef	core	1	E02,E13	R08	NOT_RUN
C009	VolvoDef	core	1	E02,E15	R08	NOT_RUN
C009	NieXiangDef	core	1	E02,E22	R08	NOT_RUN
C010	ThreeDef	core	1	E04,E05	R08,R09,R20	NOT_RUN
C010	PragonDef	core	1	E12,E13	R08,R09,R20	NOT_RUN
C010	VolvoDef	core	1	E14,E15	R08,R09,R20	NOT_RUN
C010	NieXiangDef	core	1	E21,E22	R08,R09,R20	NOT_RUN
C011	normal_and_bomb	core	1	E14,E15,E28	R08,R09	NOT_RUN
C012	plain_xiao	core	1	E11,E23	R07,R21	NOT_RUN
C012	enhanced_xiao	core	1	E11,E23	R07,R21	NOT_RUN
C012	bi	core	1	E02,E23	R07,R21	NOT_RUN
C013	buff_not_stacked	core	1	E01,E23	R21	NOT_RUN
C014	buff_needs_balance	core	1	E11	R02,R07	NOT_RUN
C015	free_xiao_pierces_def	core	1	E03,E11	R07,R20	NOT_RUN
C016	prior_0	core	1	E10,E11	R04,R07,R19	NOT_RUN
C016	prior_1	core	1	E10,E11	R04,R07,R19	NOT_RUN
C016	prior_2	core	1	E10,E11	R04,R07,R19	NOT_RUN
C016	prior_3	core	1	E10,E11	R04,R07,R19	NOT_RUN
C016	prior_8	core	1	E10,E11	R04,R07,R19	NOT_RUN
C017	sum_before_restart	core	1	E04,E12,E20	R12,R26	NOT_RUN
C018	two_absorbers	core	1	E04,E20	R12	NOT_RUN
C019	two_chargers	core	1	E01,E20	R12	NOT_RUN
C020	cloud_does_not_shield_others	core	1	E01,E04,E09	R04,R13,R26	NOT_RUN
C021	normal_volvo	core	1	E14,E20	R12	NOT_RUN
